ISO,Language,Dialect,Genetics,Speakers,Method,Quantity,vowel,f1,f2,f3,y,country_ids,latitude,longitude,eng.prim
dgo,Dogri,NA,IndoEuropean>IndoIranian>IndoAryan>Northern,3,Wordlist,Long,u,313.0,660.0,NA,FALSE,IN PK,32.5534,75.7111,FALSE
dik,Southwestern Dinka,Luanyjang,NiloSaharan>EasternSudanic>Nilotic>Western>DinkaNuer,7,Meaningful sentence,Long,i,325.0,2158.0,NA,FALSE,SD,8.81115,28.0613,FALSE
dik,Southwestern Dinka,Luanyjang,NiloSaharan>EasternSudanic>Nilotic>Western>DinkaNuer,7,Meaningful sentence,Long,u,346.0,987.0,NA,FALSE,SD,8.81115,28.0613,FALSE
dru,Rukai,Budai,Austronesian>Rukai,2,Wordlist,Uniform,u,520.0,970.0,NA,FALSE,TW,22.7738,120.844,FALSE
dru,Rukai,Budai,Austronesian>Rukai,2,Wordlist,Uniform,i,420.0,2125.0,NA,FALSE,TW,22.7738,120.844,FALSE
egl,Emilian,NA,IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>GalloRomance>GalloItalic,2,Wordlist,Long,i,341.0,2481.0,NA,TRUE,IT,44.3536,11.5794,FALSE
egl,Emilian,NA,IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>GalloRomance>GalloItalic,2,Wordlist,Long,u,363.0,918.0,NA,TRUE,IT,44.3536,11.5794,FALSE
egl,Emilian,NA,IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>GalloRomance>GalloItalic,2,Wordlist,Long,y,348.0,1761.0,NA,TRUE,IT,44.3536,11.5794,FALSE
ekk,Estonian,Eastern Saaremaa,Uralic>FinnoUgric>FinnoVolgaic>FinnoLappic>BalticFinnic,8,Wordlist,Long,i,290.0,2279.0,3013,FALSE,EE LV RU,58.55,25.82,FALSE
ekk,Estonian,Eastern Saaremaa,Uralic>FinnoUgric>FinnoVolgaic>FinnoLappic>BalticFinnic,8,Wordlist,Long,u,306.0,833.0,2316,FALSE,EE LV RU,58.55,25.82,FALSE
ell,Greek,NA,IndoEuropean>Hellenic,4,Carrier sentence,Uniform,i,310.0,1909.0,2419,FALSE,AL BG CY EG GR IT MK RO TR UA,42.3224,24.8699,FALSE
ell,Greek,NA,IndoEuropean>Hellenic,4,Carrier sentence,Uniform,u,338.0,837.0,2355,FALSE,AL BG CY EG GR IT MK RO TR UA,42.3224,24.8699,FALSE
eng,English,American>General,IndoEuropean>Germanic>WestGermanic>AngloFrisian,4,Wordlist,Long,i,312.0,2307.0,2917,FALSE,AU BM BR BZ CA CK CU DO FK GB GI GP GT GY HN IE KY LR MX NF PN SH SR US VE ZA,53.0,-1.0,FALSE
eng,English,American>General,IndoEuropean>Germanic>WestGermanic>AngloFrisian,4,Wordlist,Long,u,348.0,995.0,2374,FALSE,AU BM BR BZ CA CK CU DO FK GB GI GP GT GY HN IE KY LR MX NF PN SH SR US VE ZA,53.0,-1.0,FALSE
eus,Basque,NA,Isolate,5,Wordlist,Uniform,u,438.0,1062.0,NA,FALSE,ES FR,43.2787,-1.31622,FALSE
eus,Basque,NA,Isolate,5,Wordlist,Uniform,i,381.0,2449.0,NA,FALSE,ES FR,43.2787,-1.31622,FALSE
evn,Solon,Yaohe,Altaic>Tungusic>Northern>Evenki,1,Wordlist,Long,u,365.0,775.0,2440,FALSE,CN MN RU,53.85,108.626,FALSE
evn,Solon,Yaohe,Altaic>Tungusic>Northern>Evenki,1,Wordlist,Long,i,345.0,2372.0,3255,FALSE,CN MN RU,53.85,108.626,FALSE
