confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,orth,name,pk,valueset_pk,word_pk
,StandardOrth,,,3-930-190-1,{},,grasshopper,ˈgræsˌhɑpər ,63905,48896,58843
,StandardOrth,,,3-940-190-1,{},,snail,sneɪl ,63906,48897,58180
,StandardOrth,,,3-950-190-1,{},,frog,frɑg ,63907,48898,59220
,StandardOrth,,,3-960-190-1,{},,lizard,ˈlɪzərd ,63908,48899,58071
,StandardOrth,,,3-970-190-1,{},,crocodile,ˈkrɑkəˌdaɪl ,63909,48900,58439
,StandardOrth,,,3-970-190-3,{},,alligator,ˈæləˌgeɪtər ,63910,48900,58095
,StandardOrth,,,3-980-190-1,{},,turtle,ˈtɜrtəl ,63911,48901,58554
,StandardOrth,,,4-110-190-1,{},,body,ˈbɑdi ,63912,48902,59201
,StandardOrth,,,4-120-190-1,{},,skin,skɪn ,63913,48903,58440
,StandardOrth,,,4-120-190-3,{},,hide,haɪd ,63914,48903,58069
,StandardOrth,,,4-130-190-1,{},,flesh,flɛʃ ,63915,48904,59440
,StandardOrth,,,4-140-190-1,{},,hair,hɛr ,63916,48905,59469
,StandardOrth,,,4-142-190-1,{},,beard,bɪrd ,63917,48906,59322
,StandardOrth,,,4-144-190-1,{},,body hair,ˈbɑdi hɛr ,63918,48907,58451
,StandardOrth,,,4-145-190-1,{},,pubic hair,ˈpjubɪk hɛr ,63919,48908,58061
,StandardOrth,,,4-146-190-1,{},,dandruff,ˈdændrəf ,63920,48909,59369
,StandardOrth,,,4-150-190-1,{},,blood,blʌd ,63921,48910,58909
,StandardOrth,,,4-151-190-1,{},,vein,veɪn ,63922,48911,59525
,StandardOrth,,,4-151-190-3,{},,artery,ˈɑrtəri ,63923,48911,59182
,StandardOrth,,,4-160-190-1,{},,bone,boʊn ,63924,48912,58172
,StandardOrth,,,4-162-190-1,{},,rib,rɪb ,63925,48913,59078
,StandardOrth,,,4-170-190-1,{},,horn,hɔrn ,63926,48914,58065
,StandardOrth,,,4-180-190-1,{},,tail,teɪl ,63927,48915,58829
,StandardOrth,,,4-190-190-1,{},,back,bæk ,63928,48916,59116
,StandardOrth,,,4-191-190-1,{},,spine,spaɪn ,63929,48917,59105
,StandardOrth,,,4-200-190-1,{},,head,hɛd ,63930,48918,58404
,StandardOrth,,,4-201-190-1,{},,side of head,saɪd ʌv hɛd ,63931,48919,59259
,StandardOrth,,,4-201-190-3,{},,temple,ˈtɛmpəl ,63932,48919,59123
,StandardOrth,,,4-202-190-1,{},,skull,skʌl ,63933,48920,59144
,StandardOrth,,,4-203-190-1,{},,brain,breɪn ,63934,48921,58530
,StandardOrth,,,4-204-190-1,{},,face,feɪs ,63935,48922,59359
,StandardOrth,,,4-205-190-1,{},,forehead,ˈfɔrhɛd ,63936,48923,58316
,StandardOrth,,,4-207-190-1,{},,jaw,ʤɔ ,63937,48924,59370
,StandardOrth,,,4-208-190-1,{},,cheek,ʧik ,63938,48925,59091
,StandardOrth,,,4-209-190-1,{},,chin,ʧɪn ,63939,48926,58502
,StandardOrth,,,4-210-190-1,{},,eye,aɪ ,63940,48927,58864
,StandardOrth,,,4-212-190-1,{},,eyebrow,ˈaɪˌbraʊ ,63941,48928,59382
,StandardOrth,,,4-213-190-1,{},,eyelid,ˈaɪˌlɪd ,63942,48929,58556
,StandardOrth,,,4-214-190-1,{},,eyelash,ˈaɪˌlæʃ ,63943,48930,58940
,StandardOrth,,,4-215-190-1,{},,blink,blɪŋk ,63944,48931,58162
,StandardOrth,,,4-220-190-1,{},,ear,ir ,63945,48932,59368
